Department,Department Name,Division,Gender,Base Salary,2019 Overtime Pay,Grade
CAT,County Attorney's Office,Support Services,F,61113,0,13
CAT,County Attorney's Office,Human Resources and Appeals,F,137065.18,0,32
CAT,County Attorney's Office,Insurance Defense Litigation,F,78902,0,18
CAT,County Attorney's Office,Human Resources and Appeals,F,136658.32,0,32
CAT,County Attorney's Office,Government Operations,F,150527,0,32
CAT,County Attorney's Office,Insurance Defense Litigation,M,129501.98,0,32
CAT,County Attorney's Office,Health and Human Services,F,139264.5,0,40
CAT,County Attorney's Office,Finance and Procurement,M,167345,0,M2
CAT,County Attorney's Office,Health and Human Services,F,127364.69,0,32
CAT,County Attorney's Office,Finance and Procurement,F,20470.01,0,5
CAT,County Attorney's Office,Insurance Defense Litigation,M,131601,0,32
CAT,County Attorney's Office,Finance and Procurement,F,59134.45,0,16
CAT,County Attorney's Office,Insurance Defense Litigation,F,128741.7,0,23
CAT,County Attorney's Office,Support Services,F,64711.87,0,16
CAT,County Attorney's Office,Insurance Defense Litigation,F,77973.87,371.95,23
CAT,County Attorney's Office,Administration,F,51158.14,0,16
CAT,County Attorney's Office,Insurance Defense Litigation,F,140560.09,0,32
CAT,County Attorney's Office,"Zoning, Land Use and Economic Development",M,113172.39,0,32
CAT,County Attorney's Office,Human Resources and Appeals,M,131041.71,0,32
CAT,County Attorney's Office,Insurance Defense Litigation,F,126596.59,0,32
CAT,County Attorney's Office,Health and Human Services,F,126596.59,0,32
CAT,County Attorney's Office,Human Resources and Appeals,M,71223.68,0,24
CAT,County Attorney's Office,Insurance Defense Litigation,F,74642.42,0,23
CAT,County Attorney's Office,Support Services,F,60218.92,0,16
CAT,County Attorney's Office,Finance and Procurement,F,134068.09,0,32
CAT,County Attorney's Office,Finance and Procurement,F,134068.09,0,32
CAT,County Attorney's Office,Finance and Procurement,M,107254.47,0,27
CAT,County Attorney's Office,Human Resources and Appeals,M,86356.26,0,27
CAT,County Attorney's Office,Insurance Defense Litigation,F,102548.06,0,27
CAT,County Attorney's Office,Health and Human Services,F,74482.27,0,23
CAT,County Attorney's Office,Support Services,F,52893.21,0,15
CAT,County Attorney's Office,Health and Human Services,F,48575.4,0,27
CAT,County Attorney's Office,Government Operations,F,150527,0,32
CAT,County Attorney's Office,Insurance Defense Litigation,F,96115,0,27
CAT,County Attorney's Office,Insurance Defense Litigation,F,94070,0,27
CAT,County Attorney's Office,Insurance Defense Litigation,M,130368.75,0,32
CAT,County Attorney's Office,Insurance Defense Litigation,M,94070,0,27
CAT,County Attorney's Office,Insurance Defense Litigation,F,94070,0,27
CCL,County Council,Council Central Staff,F,141566,0,M3
CCL,County Council,Council Members and Staff,F,160000,0,0
CCL,County Council,Council Central Staff,F,99852,0,23
CCL,County Council,Council Central Staff,M,187233,0,M1
CCL,County Council,Council Central Staff,F,110671.9,0,21
CCL,County Council,Council Members and Staff,F,75438.05,0,26
CCL,County Council,Council Members and Staff,F,141616.25,0,M3
CCL,County Council,Council Central Staff,M,167345,0,M2
CCL,County Council,Council Members and Staff,F,182232.46,0,0
CCL,County Council,Council Central Staff,F,144751,0,M3
CCL,County Council,Council Members and Staff,F,140371.07,0,0
CCL,County Council,Council Central Staff,M,167345,0,M2
CCL,County Council,Council Central Staff,F,206000,0,0
CCL,County Council,Council Central Staff,M,92039.75,0,M2
CCL,County Council,Council Central Staff,F,90848,0,21
CCL,County Council,Council Central Staff,M,123799,0,28
CCL,County Council,Council Central Staff,F,35149.5,0,13
CCL,County Council,Council Central Staff,M,149786.4,0,M1
CCL,County Council,Council Members and Staff,F,166461.38,0,0
CCL,County Council,Council Central Staff,F,75290,176.04,17
CCL,County Council,Council Central Staff,F,75290,176.04,17
CCL,County Council,Council Central Staff,F,167345,0,M2
CCL,County Council,Council Members and Staff,F,75290,0,17
CCL,County Council,Council Central Staff,F,56044.97,0,17
CCL,County Council,Council Central Staff,F,75290,487.48,17
CCL,County Council,Council Members and Staff,M,140371.07,0,0
CCL,County Council,Council Central Staff,F,99852,0,23
CCL,County Council,Council Members and Staff,F,95070.04,0,22
CCL,County Council,Council Central Staff,F,65878.75,1123.96,17
CCL,County Council,Council Central Staff,F,73848.22,138.39,17
CCL,County Council,Council Central Staff,F,126584,0,28
CCL,County Council,Council Central Staff,F,167345,0,M2
CCL,County Council,Council Central Staff,M,99852,0,23
CCL,County Council,Council Members and Staff,F,140460.72,0,0
CCL,County Council,Council Central Staff,F,126584,0,28
CCL,County Council,Council Central Staff,F,35149.5,0,13
CCL,County Council,Council Central Staff,M,62488,0,13
CCL,County Council,Council Central Staff,M,167345,0,M2
CCL,County Council,Council Central Staff,M,99594.03,0,23
CCL,County Council,Council Central Staff,F,120703.89,0,32
CCL,County Council,Council Central Staff,F,93149.35,0,M3
CCL,County Council,Council Central Staff,F,112566,0,26
CCL,County Council,Council Members and Staff,M,161908.9,0,0
CCL,County Council,Council Members and Staff,F,71163.97,0,18
CCL,County Council,Council Members and Staff,F,125000,0,0
CCL,County Council,Council Members and Staff,M,140371.07,0,0
CCL,County Council,Council Central Staff,M,83513.26,198.08,25
CCL,County Council,Council Members and Staff,M,140371.07,0,0
CCL,County Council,Council Members and Staff,F,127812.5,0,0
CCL,County Council,Council Central Staff,M,160900.71,0,M2
CCL,County Council,Council Members and Staff,F,66352.94,0,18
CCL,County Council,Council Members and Staff,M,120536.93,0,0
CCL,County Council,Council Members and Staff,F,86498.16,0,26
CCL,County Council,Council Central Staff,M,96109.06,119.08,26
CCL,County Council,Council Central Staff,M,140075.29,0,32
CCL,County Council,Council Central Staff,M,126584,0,28
CCL,County Council,Council Members and Staff,M,79182.85,0,22
CCL,County Council,Council Members and Staff,M,57271.92,0,18
CCL,County Council,Council Members and Staff,M,140371.07,0,0
CCL,County Council,Council Members and Staff,M,154408.18,0,0
CCL,County Council,Council Members and Staff,M,120000,0,0
CCL,County Council,Council Members and Staff,M,67479.14,0,16
CCL,County Council,Council Members and Staff,F,77795.52,0,16
CCL,County Council,Council Members and Staff,F,31441.07,0,18
CCL,County Council,Council Members and Staff,M,48933.12,0,16
CCL,County Council,Council Members and Staff,F,56288.38,0,18
CCL,County Council,Council Members and Staff,M,74428.79,0,22
CCL,County Council,Council Central Staff,F,97525.61,0,25
CCL,County Council,Council Members and Staff,F,57260,0,16
CCL,County Council,Council Members and Staff,M,82146.01,0,26
CCL,County Council,Council Members and Staff,M,59258.1,0,18
CCL,County Council,Council Central Staff,F,113603.72,0,28
CCL,County Council,Council Members and Staff,M,51570.74,0,18
CCL,County Council,Council Members and Staff,F,61350,0,16
CCL,County Council,Council Members and Staff,M,41882.36,0,16
CCL,County Council,Council Central Staff,M,67791.75,0,21
CCL,County Council,Council Central Staff,F,99852,0,23
CCL,County Council,Council Central Staff,F,98230.25,0,23
CCL,County Council,Council Members and Staff,F,59831.94,0,16
CCL,County Council,Council Members and Staff,M,48575.4,0,16
CCL,County Council,Council Members and Staff,M,150000,0,0
CCL,County Council,Council Members and Staff,F,110000,0,0
CCL,County Council,Council Members and Staff,M,140371.07,0,0
CCL,County Council,Council Members and Staff,M,140371.07,0,0
CCL,County Council,Council Members and Staff,M,140371.07,0,0
CCL,County Council,Council Central Staff,F,146217.5,0,M2
CCL,County Council,Council Members and Staff,F,45000,0,16
CCL,County Council,Council Members and Staff,M,49591.25,699.92,16
CCL,County Council,Council Members and Staff,M,67293.28,0,18
CCL,County Council,Council Members and Staff,F,79037.31,0,22
CCL,County Council,Council Members and Staff,F,33742.5,0,16
CCL,County Council,Council Members and Staff,F,56237.5,0,16
CCL,County Council,Council Central Staff,F,66462.5,351.63,21
CCL,County Council,Council Members and Staff,F,84867.5,0,26
CCL,County Council,Council Members and Staff,M,45000,0,16
CCL,County Council,Council Members and Staff,F,46012.5,0,16
CCL,County Council,Council Central Staff,F,127812.5,0,32
CCL,County Council,Council Members and Staff,M,44000,0,16
CCL,County Council,Council Central Staff,F,43967.5,0,16
CCL,County Council,Council Central Staff,F,59333.63,125.55,17
CCL,County Council,Council Members and Staff,F,47847.89,0,16
CCL,County Council,Council Central Staff,F,146217.5,0,M2
CEC,Community Engagement Cluster,Regional Services Centers,M,166787,0,0
CEC,Community Engagement Cluster,Community Engagement Cluster,F,107346,0,23
CEC,Community Engagement Cluster,Gilchrist Center,F,92059.96,0,25
CEC,Community Engagement Cluster,Business Management,F,90848,0,21
CEC,Community Engagement Cluster,Regional Services Centers,F,186735.34,0,M1
CEC,Community Engagement Cluster,Wheaton Urban District,M,109761,0,25
CEC,Community Engagement Cluster,Regional Services Centers,M,171648,0,0
CEC,Community Engagement Cluster,Regional Services Centers,M,168282,0,0
CEC,Community Engagement Cluster,Wheaton Urban District,M,50537.37,3528.86,9
CEC,Community Engagement Cluster,Wheaton Urban District,M,64459.66,5806.98,16
CEC,Community Engagement Cluster,Wheaton Urban District,M,62953.84,1878.18,16
CEC,Community Engagement Cluster,Community Partnerships,F,96609.19,0,23
CEC,Community Engagement Cluster,Regional Services Centers,M,185494.05,0,25
CEC,Community Engagement Cluster,Wheaton Urban District,M,54407,115.12,10
CEC,Community Engagement Cluster,Wheaton Urban District,F,104680,0,24
CEC,Community Engagement Cluster,Silver Spring Urban District,M,52990.74,11280.23,13
CEC,Community Engagement Cluster,Silver Spring Urban District,F,58481.92,0,16
CEC,Community Engagement Cluster,Community Partnerships,F,109761,0,25
CEC,Community Engagement Cluster,Wheaton Urban District,M,54407,0,10
CEC,Community Engagement Cluster,Community Partnerships,M,176837,0,0
CEC,Community Engagement Cluster,Silver Spring Urban District,M,75290,6797.56,17
CEC,Community Engagement Cluster,Silver Spring Urban District,M,48169.32,12731.91,9
CEC,Community Engagement Cluster,Silver Spring Urban District,M,76884.55,1205.96,17
CEC,Community Engagement Cluster,Silver Spring Urban District,M,109761,0,25
CEC,Community Engagement Cluster,Community Partnerships,F,95245.89,0,28
CEC,Community Engagement Cluster,Silver Spring Urban District,M,48414.6,10810.66,10
CEC,Community Engagement Cluster,Silver Spring Urban District,M,54407,1628.41,10
CEC,Community Engagement Cluster,Wheaton Urban District,M,54407,1725.75,10
CEC,Community Engagement Cluster,Silver Spring Urban District,M,60142.19,0,10
CEC,Community Engagement Cluster,Silver Spring Urban District,F,54407,1777.44,10
CEC,Community Engagement Cluster,Silver Spring Urban District,M,75290,0,17
CEC,Community Engagement Cluster,Wheaton Urban District,M,65211.82,88.88,16
CEC,Community Engagement Cluster,Silver Spring Urban District,M,75290,7217.86,17
CEC,Community Engagement Cluster,Silver Spring Urban District,M,44965.96,11774.66,9
CEC,Community Engagement Cluster,Gilchrist Center,F,52893.21,334.72,16
CEC,Community Engagement Cluster,Silver Spring Urban District,M,41975.18,3557.89,9
CEC,Community Engagement Cluster,Silver Spring Urban District,M,46540.16,13163.22,9
CEC,Community Engagement Cluster,Wheaton Urban District,M,53797.05,549.92,16
CEC,Community Engagement Cluster,Silver Spring Urban District,F,41955.34,2332.8,10
CEC,Community Engagement Cluster,Silver Spring Urban District,M,45187.48,4752.9,10
CEC,Community Engagement Cluster,Silver Spring Urban District,M,48432.43,20456.4,10
CEC,Community Engagement Cluster,Silver Spring Urban District,M,41051.52,758.88,9
CEC,Community Engagement Cluster,Silver Spring Urban District,M,44965.96,2394.74,9
CEC,Community Engagement Cluster,Silver Spring Urban District,M,43445.3,3209.99,9
CEC,Community Engagement Cluster,Wheaton Urban District,M,40797.75,705,10
CEC,Community Engagement Cluster,Community Partnerships,F,150000,0,0
CEC,Community Engagement Cluster,Wheaton Urban District,M,47862.31,326.16,10
CEC,Community Engagement Cluster,Silver Spring Urban District,M,43659.33,13673.47,10
CEC,Community Engagement Cluster,Silver Spring Urban District,M,43659.35,1605.52,10
CEC,Community Engagement Cluster,Silver Spring Urban District,M,41975.18,3260.49,9
CEC,Community Engagement Cluster,Silver Spring Urban District,F,41975.18,13175.05,9
CEC,Community Engagement Cluster,Silver Spring Urban District,M,41975.19,490.01,9
CEC,Community Engagement Cluster,Wheaton Urban District,M,45048.61,3524.02,9
CEC,Community Engagement Cluster,Wheaton Urban District,F,43659.99,397.2,10
CEC,Community Engagement Cluster,Gilchrist Center,F,44801.26,0,23
CEC,Community Engagement Cluster,Community Engagement Cluster,M,126584,0,28
CEC,Community Engagement Cluster,Community Engagement Cluster,M,61757.13,0,28
CEC,Community Engagement Cluster,Wheaton Urban District,M,51593.7,1283.31,10
CEC,Community Engagement Cluster,Silver Spring Urban District,M,42183.57,13808.57,10
CEC,Community Engagement Cluster,Gilchrist Center,M,45941.1,437.49,13
CEC,Community Engagement Cluster,Silver Spring Urban District,F,69908.06,15432.97,21
CEC,Community Engagement Cluster,Wheaton Urban District,M,42181.68,2026.73,9
CEC,Community Engagement Cluster,Commission for Women,F,161280.48,0,M1
CEC,Community Engagement Cluster,Gilchrist Center,F,22193.77,31.32,13
CEC,Community Engagement Cluster,Regional Services Centers,F,161200,0,0
CEC,Community Engagement Cluster,Wheaton Urban District,M,41695.09,1718.05,9
CEC,Community Engagement Cluster,Wheaton Urban District,M,44554.18,57.26,11
CEC,Community Engagement Cluster,Silver Spring Urban District,M,38047.73,6916.7,10
CEC,Community Engagement Cluster,Silver Spring Urban District,M,36580.26,1775.9,9
CEC,Community Engagement Cluster,Silver Spring Urban District,F,38047.73,1508.88,10
CEC,Community Engagement Cluster,Silver Spring Urban District,M,38047.73,1842.35,10
CEC,Community Engagement Cluster,Wheaton Urban District,M,40296.37,3394.15,9
CEC,Community Engagement Cluster,Bethesda Urban District,M,80822.67,0,21
CEC,Community Engagement Cluster,Council Members and Staff,M,95092.5,0,28
CEC,Community Engagement Cluster,Silver Spring Urban District,M,35342.58,7483.79,9
CEC,Community Engagement Cluster,Gilchrist Center,F,36868.73,0,23
CEC,Community Engagement Cluster,Gilchrist Center,M,22970.55,64.81,13
CEC,Community Engagement Cluster,Wheaton Urban District,M,42183.56,1053.78,10
CEC,Community Engagement Cluster,Gilchrist Center,F,34542.5,0,23
CEC,Community Engagement Cluster,Gilchrist Center,F,20718.12,160.75,13
CEC,Community Engagement Cluster,Wheaton Urban District,M,39468.5,765.53,9
CEC,Community Engagement Cluster,Community Partnerships,F,95092.5,0,28
CEC,Community Engagement Cluster,Community Engagement Cluster,M,102250,0,25
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,187233,0,M1
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,78902,0,18
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,78902,0,18
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,144734.41,0,M3
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,172376,0,0
CEX,Offices of the County Executive,County Executive,M,201004.79,0,0
CEX,Offices of the County Executive,County Executive's Office,M,122300,0,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,83100,0,20
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,303091,0,0
CEX,Offices of the County Executive,County Executive's Office,F,90848,0,21
CEX,Offices of the County Executive,County Executive's Office,F,122300,0,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,35926,0,16
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,35926,0,16
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,78902,0,18
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,134959.5,0,0
CEX,Offices of the County Executive,County Executive's Office,F,70000,0,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,159432,0,0
CEX,Offices of the County Executive,County Executive's Office,F,155000,0,0
CEX,Offices of the County Executive,County Executive's Office,M,155000,0,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,170687,0,28
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,86669,0,20
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,109761,0,25
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,170000,0,0
CEX,Offices of the County Executive,CountyStat,M,167214.07,0,M2
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,117578.84,0,28
CEX,Offices of the County Executive,CountyStat,M,94576.24,0,28
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,170687,0,0
CEX,Offices of the County Executive,Internal Audit,M,167345,0,M2
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,176800,0,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,142608.09,0,M2
CEX,Offices of the County Executive,CountyStat,M,85089.43,0,28
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,67204.5,0,21
CEX,Offices of the County Executive,CountyStat,M,58845.73,0,16
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,16731.53,0,5
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,84456,0,25
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,280000,0,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,62372.5,0,18
CEX,Offices of the County Executive,CountyStat,F,82000,0,28
CEX,Offices of the County Executive,County Executive's Office,F,70000,0,0
CEX,Offices of the County Executive,CountyStat,F,76687.5,0,25
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,165000,0,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,165000,0,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,165000,0,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,71575,0,18
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,164622.5,0,M2
COR,Correction and Rehabilitation,MSD Fiscal Services,F,115647.75,0,M3
COR,Correction and Rehabilitation,MSD Fiscal Services,F,99852,0,23
COR,Correction and Rehabilitation,DS Health Services,F,71852,752.82,16
COR,Correction and Rehabilitation,MSD Fiscal Services,F,71852,268.84,16
COR,Correction and Rehabilitation,DO Director,F,78902,222.6,18
COR,Correction and Rehabilitation,MSD Fiscal Services,F,104610.55,0,23
COR,Correction and Rehabilitation,DS Food Services,F,71852,0,16
COR,Correction and Rehabilitation,MSD Human Resources,F,116159,0,M3
COR,Correction and Rehabilitation,PTS Assessment,F,115099,0,26
COR,Correction and Rehabilitation,DS MCCF Custody and Security,M,144751,0,M3
COR,Correction and Rehabilitation,DS Health Services,M,167345,0,M2
COR,Correction and Rehabilitation,MSD Fiscal Services,F,71852,0,16
COR,Correction and Rehabilitation,DS Detention Services,F,165578.56,0,M2
COR,Correction and Rehabilitation,MSD Management Services Division,F,167345,0,M2
COR,Correction and Rehabilitation,DO Director,M,206000,0,M2
COR,Correction and Rehabilitation,PTS Pre-Trial Services,F,206000,0,0
COR,Correction and Rehabilitation,MSD Information Technology,M,113681.54,0,26
COR,Correction and Rehabilitation,DS Intake Classification and Re-Entry Services,M,102378.52,0,24
COR,Correction and Rehabilitation,MSD Information Technology,F,138790,0,M3
COR,Correction and Rehabilitation,DS Facility Operations Management,M,62488,0,13
COR,Correction and Rehabilitation,PTS Supervision,M,104680,2618.41,24
COR,Correction and Rehabilitation,DS MCCF Case Managers Unit 2,F,93350.01,0,25
COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,M,85567,11648.63,C5
COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,M,83684,0,C5
COR,Correction and Rehabilitation,DS MCCF Educational Services,F,99852,0,23
COR,Correction and Rehabilitation,DS MCCF Facilities Maintenance,M,66552.91,15293.57,18
COR,Correction and Rehabilitation,PRRS Reentry Services and Programs,M,144751,0,M3
COR,Correction and Rehabilitation,DS Programs and Services,F,144751,0,M3
COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,F,107643.16,12355.51,C1
COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,M,70159,26668.92,C4
COR,Correction and Rehabilitation,PTS Supervision,M,85567,10772.58,C5
COR,Correction and Rehabilitation,MSD Information Technology,M,126584,0,28
COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,M,77175,5436.45,C5
COR,Correction and Rehabilitation,DS MCDC Intake/Release Operations,M,118412.56,24385.62,C2
COR,Correction and Rehabilitation,MSD Training and Staff Development,F,99852,971.26,23
COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,M,107648,24363.33,C1
COR,Correction and Rehabilitation,DS MCDC Custody and Security,M,107648,13833.46,C1
COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,M,118414,821.18,C2
COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,M,107648,14696.91,C1
COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,M,77175,23682.64,C5
COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,M,95707,0,C6
COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,M,75161,15965.7,C4
COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,F,85567,39124.81,C5
COR,Correction and Rehabilitation,DS Health Services,F,102377,0,24
COR,Correction and Rehabilitation,DS Food Services,M,58206.75,15792.31,18
COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,M,97860,52638.93,C6
COR,Correction and Rehabilitation,PRRS Facility and Security,M,72036.04,20878.38,20
COR,Correction and Rehabilitation,DS Facility Operations Management,F,141566,0,C2
COR,Correction and Rehabilitation,DS Food Services,F,74063.77,7901.61,18
COR,Correction and Rehabilitation,DS MCDC Custody and Security,F,91351,22471.83,C6
COR,Correction and Rehabilitation,DS MCCF Case Managers Unit 3,F,109761,0,25
COR,Correction and Rehabilitation,DS MCDC Central Processing Unit,M,77792,8368.49,C4
COR,Correction and Rehabilitation,PRRS Reentry Services and Programs,M,104680,2813.85,24
COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,M,107648,17027.61,C1
COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,M,69607,1091.2,C5
COR,Correction and Rehabilitation,DS MCDC Custody and Security,M,85567,43381.76,C5
COR,Correction and Rehabilitation,DS Inmate Records,M,75290,16764.39,17
COR,Correction and Rehabilitation,DS MCDC Custody and Security,M,105279,157.2,C1
COR,Correction and Rehabilitation,PTS Alternative Community Services,F,95236,1410.58,22
COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,F,91351,36928.28,C6
COR,Correction and Rehabilitation,DS Food Services,M,69139.07,18077.64,18
COR,Correction and Rehabilitation,PTS ACS Work Crew,M,85567,27068.02,C5
COR,Correction and Rehabilitation,DS MCDC Custody and Security,M,85567,11527.53,C5
COR,Correction and Rehabilitation,DS Health Services,F,104680,0,24
COR,Correction and Rehabilitation,MSD Human Resources,F,90848,0,21
COR,Correction and Rehabilitation,DS MCDC Central Processing Unit,M,85567,6173.14,C5
COR,Correction and Rehabilitation,DS Health Services,F,78902,19295.59,18
COR,Correction and Rehabilitation,DS Health Services,F,104680,41972.41,24
COR,Correction and Rehabilitation,DS Inmate Records,F,75290,18506.06,17
COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,M,77175,13913.46,C5
COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,F,97860,31515.09,C6
COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,M,85567,26862.46,C5
COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,F,85567,34536.59,C5
COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,F,82673,13470.51,C5
COR,Correction and Rehabilitation,DS MCCF Facilities Maintenance,M,77175,16129.27,18
